id,energy,danceability,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,label
6RtPijgfPKROxEzTHNRiDp,0.758,0.773,1,-4.993,1,0.0381,0.0422,0,0.305,0.925,144.033,224840,4,studio
2sFp6E7lNBbblJGmUtCfFH,0.921,0.645,6,-5.256,0,0.0302,0.00809,1.08e-05,0.407,0.864,129.0,186440,4,studio
7FjZU7XFs7P9jHI9Z0yRhK,0.872,0.7,10,-5.896,1,0.0666,0.121,7.08e-06,0.103,0.761,125.03,190302,4,studio
4uTvPEr01pjTbZgl7jcKBD,0.458,0.747,6,-6.891,1,0.303,0.451,0,0.252,0.47,75.029,182000,4,studio
77W6VUoJdasCQgjc5DW19q,0.875,0.738,7,-3.141,1,0.127,0.000673,0.000556,0.285,0.538,114.962,219733,4,studio
6Amt2E3nanH9lhZnas9oOs,0.71,0.698,9,-8.569,1,0.0452,0.161,0.0828,0.0489,0.691,138.797,251587,4,studio
5aqqxocHtFRmTBk8LlmLRN,0.727,0.723,4,-6.03,1,0.0299,0.0159,1.55e-06,0.19,0.419,126.97,250017,4,studio
0EiV5cF6FoOiwLHWbVMrqd,0.699,0.696,4,-3.76,0,0.0468,0.0374,0.00108,0.0485,0.967,127.988,180240,4,studio
6vyrUPPgqk1toY2Hm3OF7X,0.861,0.639,9,-3.023,0,0.0924,0.0519,0,0.124,0.63,124.009,230787,4,studio
6pDI3J5Cyt5cCauyWYYuS6,0.919,0.666,4,-3.031,1,0.0293,0.00164,0.00042,0.106,0.528,115.051,236387,4,studio
4urcG6Nfubqsuqy3juMjBi,0.765,0.765,1,-2.732,0,0.0585,0.00765,3.82e-06,0.0527,0.886,120.001,227147,4,studio
5r7XHPnTPeLKcBeDMLzkse,0.879,0.489,9,-3.787,1,0.0688,0.00092,0.00285,0.248,0.741,156.576,228560,4,studio
4rZtjSXxcGkRutV0GiBEgp,0.965,0.261,0,-4.53,1,0.0967,0.000371,0.000427,0.156,0.397,140.918,224267,4,studio
0ujklxrVM2jwpLMgbTwTd1,0.917,0.553,1,-4.658,1,0.0424,0.00847,0.0975,0.251,0.433,124.001,249867,4,studio
2pxxVkNhrRST8fpgA12ru8,0.823,0.445,0,-5.415,1,0.0302,0.00163,0,0.43,0.487,85.935,276627,4,studio
10Nmj3JCNoMeBQ87uw5j8k,0.913,0.556,0,-2.36,1,0.0437,0.0193,8.59e-06,0.346,0.73,96.184,282160,4,studio
1Vb0sEHboCBthv6fUqLjME,0.969,0.366,3,-3.359,1,0.0932,0.000676,0.000127,0.106,0.665,146.542,200440,4,studio
0UZqLyiCqfEYNFQ9ioNC64,0.931,0.463,6,-3.809,0,0.0436,7.58e-05,0.000867,0.138,0.585,145.013,222893,4,studio
7clUVcSOtkNWa58Gw5RfD4,0.898,0.514,11,-6.765,0,0.0577,0.00488,0.0345,0.0746,0.353,123.067,287907,4,studio
5sH5jY3rStD9K3FiiiixbQ,0.535,0.519,7,-9.44,1,0.0487,0.485,0,0.0946,0.229,119.742,250067,4,studio
5S4J5QVt1X0ZACiPOrOCoq,0.748,0.711,8,-7.318,1,0.131,0.133,0,0.461,0.489,127.99,243667,4,studio
23fecagpmaDqzJzf0nDWRS,0.847,0.742,8,-3.995,1,0.0392,0.00573,0,0.196,0.602,129.048,215907,4,studio
2CTKQHWHseuShgYEzsVnhI,0.869,0.722,9,-3.104,1,0.0591,0.0421,1.37e-05,0.35,0.922,126.009,224693,4,studio
2HAk4odx3V0xWcGsfnNZlX,0.914,0.483,8,-3.735,1,0.38,0.0202,0,0.124,0.362,172.024,224973,4,studio
1joM5RLNRDmsR2AiF5XaRF,0.947,0.483,7,-3.3,0,0.0633,0.000308,0.329,0.381,0.589,186.127,244733,4,studio
4nB13UGGyuBVWWOVEBzyCX,0.822,0.826,1,-2.586,1,0.0744,0.00823,7.95e-06,0.284,0.902,108.011,205480,4,studio
6bqhb4rqiUofKHGAB8PHdN,0.75,0.541,10,-6.561,1,0.0971,0.016,0,0.294,0.663,160.006,228773,4,studio
6AcpiMeQ41vJnpZcCKpUCL,0.818,0.671,8,-3.977,1,0.0699,0.218,0,0.0995,0.524,154.083,200853,4,studio
5xpcdgLDvTx7AKCfIUsmYS,0.687,0.767,5,-3.983,0,0.0947,0.0384,0,0.335,0.433,126.048,172293,4,studio
4emV3DwgLK4wrm4zBtt3Ei,0.683,0.593,5,-5.629,1,0.0275,0.243,0,0.225,0.304,132.026,257427,4,studio
