id,energy,danceability,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,label
5AdKuFt6sIm4D3qeOt7Skt,0.922,0.38,9,-5.509,1,0.104,0.21,6.49e-05,0.969,0.696,138.1,208627,4,live
5Kio8PIBNZxaHnzF78Cve5,0.674,0.667,2,-14.618,1,0.0498,0.198,0.0806,0.706,0.861,130.507,211173,4,live
1IwQ8ft8ik7WviOIFTsaX0,0.927,0.196,4,-5.105,1,0.189,0.0218,0.0192,0.385,0.376,80.798,239187,4,live
38U9Hsg9Z9NWcgQfkT2Yvg,0.796,0.35,8,-9.675,1,0.136,0.379,0.000336,0.899,0.67,146.113,321453,4,live
3k8fXhUNx4vQ0ZMLeKjA0v,0.712,0.28,7,-6.686,1,0.0298,0.326,0.000289,0.857,0.113,94.645,316387,4,live
4blKtO4wIdbYi2CYbuFMNG,0.578,0.509,7,-8.876,1,0.0309,0.0417,0.000544,0.183,0.116,151.997,278533,4,live
7uY8cyuuGiAMaYBZ9mOYxy,0.842,0.437,9,-7.802,1,0.0732,0.157,0,0.933,0.658,125.065,231653,4,live
0C2kvcZSU8O9m0bt2aE0g0,0.879,0.639,9,-6.398,1,0.0346,0.211,0.0796,0.954,0.668,115.78,253867,4,live
1km6blOu2FncEL4xNEaS3g,0.45,0.386,10,-8.256,1,0.0333,0.895,0,0.701,0.21,129.866,220933,4,live
3nJq3mitj3SNyV8pOSJklB,0.976,0.541,0,-5.783,1,0.197,5.74e-05,0.311,0.966,0.235,136.494,413093,4,live
7GU2MJslsFjC8jhUcmkwQl,0.919,0.526,11,-5.115,0,0.0626,0.00165,0,0.863,0.51,108.964,288747,4,live
2TUl202YHiXH5i2D6owyBu,0.922,0.551,10,-10.347,0,0.0401,0.000421,0.895,0.957,0.583,124.01,360933,4,live
0tT0807SBKnMXn6IdDhFGV,0.888,0.498,0,-8.258,0,0.0365,0.000977,0.427,0.753,0.551,111.238,463040,4,live
3wBjtGXQrtE43V6B96Etan,0.642,0.562,9,-10.027,1,0.032,0.00237,0.00111,0.716,0.383,144.857,240520,4,live
1G29ZPscAEbs6MlKHYnU6l,0.925,0.455,0,-14.121,1,0.0676,0.00394,0.495,0.73,0.749,92.371,228947,4,live
5cFcBah4iJSwIAkI7CnHGO,0.785,0.358,7,-12.258,1,0.0732,0.0403,0.853,0.81,0.285,142.051,303640,4,live
6n1sjnYCaURlVj4phCl7jQ,0.937,0.413,1,-7.42,1,0.0469,0.00845,5.83e-06,0.99,0.457,108.959,318320,4,live
7wdemkx7Vg4XLRllOPIc1Q,0.945,0.434,4,-2.721,0,0.073,0.056,0,0.92,0.437,79.109,221493,4,live
64s1U3dMQutgqu5IffaOTI,0.886,0.55,0,-6.756,1,0.0577,0.0148,0.0208,0.835,0.574,118.084,346000,4,live
7770Mf1zbfbxTJ2OTjpaBB,0.935,0.587,1,-4.275,1,0.0667,0.00135,0.000947,0.951,0.527,125.458,234720,4,live
2GzuN3lReGbfYoKMAyZ9vt,0.825,0.479,7,-6.972,1,0.0469,0.000309,0.122,0.342,0.677,132.07,187227,4,live
1k3WoDcx7Gc8LlliLv8oa1,0.653,0.479,8,-9.501,0,0.039,0.246,0.0303,0.87,0.59,92.922,299893,4,live
20QFf3rJEQPIJVrDKKqeca,0.945,0.763,6,-8.27,1,0.0405,0.0533,5.32e-05,0.721,0.908,130.721,214307,4,live
5Zzs9O9QlPgWkfhoaR2J0H,0.872,0.43,11,-11.259,0,0.065,0.177,0.000475,0.996,0.281,128.488,227067,4,live
5lVW3GUAzVLYh1RCtCcRU3,0.961,0.437,4,-5.046,0,0.137,0.000194,0.0217,0.445,0.541,106.088,292217,4,live
5Wd3lfxPpr4TwLwjNQRyUv,0.941,0.521,9,-5.383,1,0.0678,0.0018,0.0254,0.974,0.713,126.757,346267,4,live
5dWxCeVmEjXm2MEJcyd5ne,0.903,0.245,3,-7.423,0,0.0614,0.00138,0.00744,0.723,0.426,148.003,223733,4,live
4ltB0NfbutxzBpJrvQHQ5o,0.905,0.588,4,-7.091,1,0.0504,0.00011,0.0788,0.134,0.51,124.118,222480,4,live
25dOoEAaQE2c9rqx55uY8L,0.703,0.385,0,-7.459,1,0.0563,0.513,3.56e-06,0.7,0.883,145.831,190450,4,live
3OE7PDW1B7vTMRqjf3Isoq,0.576,0.677,1,-10.566,1,0.0481,7.04e-06,0.857,0.0913,0.401,120.01,306560,4,live
6nxy02oTKtGKLWcacDHrdv,0.849,0.254,7,-9.26,1,0.0726,0.00263,0.0668,0.921,0.205,146.408,360467,4,live
7ha19gPL2vzlEkQTWnEu2V,0.904,0.676,7,-8.993,1,0.0388,0.113,0.0003,0.883,0.728,116.862,328960,4,live
0zVqTT6wC9xpYI9x6aQwv9,0.986,0.581,9,-3.465,1,0.0991,0.63,0.0607,0.987,0.345,110.282,334933,4,live
1gS6bfzqSSSzTnd1q2rJ7b,0.937,0.39,5,-5.504,1,0.0591,0.277,3.49e-05,0.391,0.326,91.713,358261,4,live
7bHMbDPNkBjRpf5FzbNRo6,0.945,0.301,2,-3.021,1,0.0581,0.000782,0.00148,0.993,0.182,97.201,268973,4,live
5jDzYlcbEVMJUPSj8tE0Xg,0.979,0.312,1,-4.459,0,0.311,0.000752,0.000962,0.412,0.329,88.105,222280,4,live
3opqVSytVPvYLJs7Ja9dVR,0.508,0.338,10,-13.541,1,0.0664,0.429,8.32e-06,0.844,0.393,105.679,232933,3,live
4JQZLG7oBGm87TqL5j9YXW,0.807,0.419,2,-12.713,1,0.0542,0.0161,0.000197,0.739,0.496,132.039,251200,4,live
